A_TX,SIGMA_TX,X_TX,Y_TX,RES_TX,A_BCN,SIGMA_BCN,X_BCN,Y_BCN,RES_BCN
1564.5642972768078,4.811807003610591,19.03542966264129,19.06293710789612,23553874.565305084,4347.842654316947,1.028311658165944,23.60962524946322,17.574957552937235,1891872.0717811992
1570.4692856087456,4.792497826557402,19.0629232059822,18.824770773132883,22880156.627960574,4318.513856542263,1.022986963063163,23.604447734827062,17.591256956162795,1876891.3543818337
1568.4471333048557,4.807989995725444,19.03685152285277,19.104619671849065,23948794.742136154,4352.903028783372,1.0206183416767758,23.62832331013638,17.611850170525713,1853180.1970624297
1579.410034903933,4.804479409506697,19.158886844603273,19.11975137827315,23682322.20756772,4329.704737691506,1.0207817365229659,23.627596642558785,17.614203049397076,1915397.538961162
1579.3487974023976,4.793281681450646,19.300363124932034,19.068723340264995,23954146.56723024,4303.7167736422125,1.0281569159238366,23.629744254408138,17.584353514879837,1921308.2780211533
1559.5914584364627,4.822225039746835,18.854835697680215,19.137983461176617,24337545.869801402,4393.747412730418,1.0253848707679463,23.630093882094457,17.567800726061307,1871987.3006149612
1574.7741836761224,4.815324495789721,19.15401582127234,18.85055499068946,25991725.834166117,4368.296773037547,1.0135935903398585,23.709373500656,17.575266325337623,1938269.5856102477
1569.632015294685,4.829026935572226,19.036841674589397,19.10870346989384,24855637.195835724,4364.5994658752315,1.0239307309572336,23.649285455247337,17.593474092233834,1913712.2851835254
1585.7455148030556,4.803939835368386,19.34943895057384,19.162740575194903,23606259.97270641,4299.131358402397,1.0253162138556697,23.62335517938874,17.589171149085246,1923152.4554752128
1572.1232134829745,4.800094875172479,19.268419438457272,19.182229434015824,24491638.939881984,4314.49536820701,1.0273835141050283,23.6483650920091,17.578689923286362,1829506.8649051313
1567.0953058886712,4.802519802227781,18.968913126576524,18.733397188426437,23902422.22879831,4342.179781384304,1.0222570906199289,23.638014787987913,17.57781602576361,1846573.0855800973
1558.5308875957428,4.8058652504054535,19.742654856027997,18.7196949953252,23901824.485025503,4381.645732244488,1.024219447703989,24.61420629022041,17.604790646662224,1825858.9028825972
1576.941946542812,4.799153284314462,19.11691698727256,18.927624733383027,23778913.849541146,4310.163872165871,1.0186812656806195,23.640883991790275,17.625946060989975,1784490.332353597
1568.7102239337964,4.82115914644712,19.238085872397107,18.519511834784225,24571378.37558146,4319.775165060046,1.0273894195100266,23.63880675650867,16.632341806269068,1699641.33506028
1577.6838844046745,4.7984050715382445,19.326473020472008,18.26764272699006,23806003.954182133,4306.927172411885,1.0258921413784219,23.620574621524014,16.62429737745353,1882703.264605671
1574.8195975540223,4.807733373479513,18.88917733687316,19.024945051991295,23657632.720628858,4362.77054953973,1.0289902301014375,23.5924844890192,17.623633102372622,1825274.6519366163
1562.3124866033702,4.8051963886181825,18.78297363006547,18.782429768917268,22667870.81636472,4373.007552719138,1.0249052428394236,23.57165294364694,17.612044803131624,1836675.822719671
1569.8060107180333,4.798597326134633,18.907812913951062,18.806058779143967,22570454.53819335,4351.190255845576,1.0259176745597134,23.57621551186162,17.59961702925142,1901481.0387074111
1559.9945108460226,4.810239398269735,19.14057226853484,19.220614307450575,21738872.110607848,4307.532262128892,1.024170764796552,23.567699335884043,17.599598779738358,1758116.5273903122
1582.929915817133,4.793039375539521,19.46021462549325,18.30106732123744,23135964.582198918,4275.9219706900185,1.0303792128999918,23.60912470493892,16.591353797671275,1893191.6737809917
1564.0650398591627,4.807249368726708,19.089939436421787,19.224814948283864,24064295.217719976,4339.4666672648245,1.0220232094119983,23.629171837528247,17.630977530176438,1769990.9137681972
1573.0778832230794,4.800320530216234,19.0084623550145,18.882631120969336,23040800.26665898,4315.307548651935,1.0313703561530256,23.589840063830366,17.616471940843752,1825349.7472173905
1546.0770136388708,4.8239627728955465,18.805976205488747,18.989179364815982,24076653.125290714,4389.019513045173,1.023827505061831,23.61830828551399,17.61784433998929,1793452.4562980242
1580.7683026700877,4.786694609619822,19.248689393546783,18.960671618044557,22684555.345734835,4266.623350555729,1.027112799372673,23.59201080130518,17.62955087616021,1800155.933491028
1572.6232374127696,4.813180444509397,19.117500667808258,18.284243649130246,23377290.784510925,4332.698123169064,1.0238652329324773,23.618362805615362,16.597789177851524,1817230.5911734917
1583.4189950336809,4.792546088171821,19.324684693640364,19.006515246052345,24991519.230088204,4323.614265590833,1.0202821271170985,23.65338963952982,17.633022168251074,1934496.5073811288
1564.368277278955,4.807483229507639,19.123960635675445,19.20169458935061,22692816.46332282,4338.131092563618,1.0249738030983675,23.597538906716522,17.555376698677833,1905583.3471628036
1563.3101509728344,4.797776965161157,19.13884825770478,19.155215788104357,22117466.413996797,4366.8604522345395,1.0242941585105376,23.572918968792692,17.5342495145523,2051276.7487834538
1558.2414510265744,4.804085509885307,19.183898026529988,19.180850540652386,23070555.83962625,4375.28153739097,1.0309121346548784,23.58626293588705,17.523239419437033,2106232.6793578975
1549.223047932796,4.807200710418069,19.185317226377435,18.2361175093628,22669001.52750305,4349.977423459483,1.0230608027075994,23.593072510554748,16.571983110023695,1961708.0216159853
1570.776053679562,4.7852196805881615,19.152340035056795,19.025067817841943,23306896.998752628,4337.650700370362,1.0293872104294477,23.59542078692357,17.588147103317425,1950437.556165416
1549.2410713255033,4.817979639504407,18.82979467949832,18.967304266773624,23734037.323920876,4398.206562801506,1.0222651478841294,23.6124358518814,17.59127550967756,1913559.5172145378
1562.661350317049,4.787005863325075,19.391552239308083,19.07037453957011,23063294.10427248,4285.388771253575,1.0252204884516691,23.611854551337473,17.598967402918475,1865111.5315577933
1548.070746365736,4.822097806645087,19.131147080868146,18.378992905605514,24551962.188918166,4384.131038329811,1.017772748053224,23.650398836201532,16.582795308964847,1895979.7639173577
1575.259309713597,4.792781440229295,19.395654757977525,19.08807664482731,25094825.914846845,4360.753005643727,1.0258141809416186,23.651466415592694,17.535564203324185,2171791.4091553814
1539.2386105348767,4.833402405292819,18.953051178975528,19.16075678515466,24776267.948639505,4407.8055984844905,1.0244155075219294,23.647708005329918,17.51969317027536,1945418.0669549138
1555.913800654198,4.8063881586946025,19.11815188922108,18.887419292814855,23866980.270279203,4372.0422329279245,1.0240665492986536,23.62311477803854,17.511949208212258,2084462.0769898107
1554.1383545691874,4.798449752222929,19.11777136371441,18.881245477046804,23530300.98199041,4380.823123085488,1.0238407836241823,23.61932435680444,17.50974064194392,2111554.358566762
1562.2591555743568,4.81029014035359,19.208260713408635,19.103089906433752,24122147.72085,4355.393569105519,1.0218390489306892,23.641948451393404,17.507131281407453,1986718.0050881002
1573.777517100311,4.793210731591974,19.32980757493587,18.995305598825382,25878493.320269074,4371.243774948572,1.0203298182225442,23.6922039235383,17.53165492732768,2129760.352401004
1563.9479651314439,4.819028167808873,19.015958433530955,18.908374276172623,26230141.50863682,4396.641156937555,1.018607698646808,23.694807334578627,17.521719284575823,1969206.3805016982
1576.9556023415928,4.813514817500023,19.13094081648353,18.774653902143115,25623268.508782197,4387.625078268155,1.0163294295027907,23.686299725798932,17.519951259887677,2082970.477968747
